tweet_id,created_at,date,year,month,hour,weekday,platform,device,text,likes,retweets,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_score,sentiment
154952126567694337,2012-01-05 15:47:20,2012-01-05,2012,2012-01,15,Thursday,Web,Twitter Web Client,"""""""Obama's plan to have Russia stand up to Iran was a horrible failure that turned America into a laughingstock."""" #TimeToGetTough""",176,184,0.9350656867027283,0.059346459805965424,0.00558775058016181,-0.9294779361225665,Negative
155014799909064704,2012-01-05 19:56:22,2012-01-05,2012,2012-01,19,Thursday,Web,Twitter Web Client,President @BarackObama's vacation is costing taxpayers millions of dollars----Unbelievable!,684,1541,0.9013030529022217,0.08485392481088638,0.013843003660440445,-0.8874600492417812,Negative
156398048526868480,2012-01-09 15:32:55,2012-01-09,2012,2012-01,15,Monday,Web,Twitter Web Client,Be sure to watch my interview on @Gretawire tonight!,8,22,0.002489130012691021,0.5033600330352783,0.4941508173942566,0.49166168738156557,Neutral
157930590560194560,2012-01-13 21:02:41,2012-01-13,2012,2012-01,21,Friday,Web,Twitter Web Client,Newly released documents show Geithner to be laughing as the financial crisis loomed http://t.co/g58AxsTQ,11,67,0.33241406083106995,0.623126745223999,0.044459182769060135,-0.2879548780620098,Neutral
159772392590295040,2012-01-18 23:01:21,2012-01-18,2012,2012-01,23,Wednesday,Other,TwitLonger Beta,"“China presents three big threats to the United States in its outrageous currency manipulation, its systematic (cont) http://t.co/6hW0AcJE",29,78,0.7643734216690063,0.2251197099685669,0.010506807826459408,-0.7538666138425469,Negative
160415176754081792,2012-01-20 17:35:33,2012-01-20,2012,2012-01,17,Friday,Other,TwitLonger Beta,"""""""In all my years in business and participating in politics I've never seen the country as divided as it is right (cont) http://t.co/ktuG7LtP""",20,106,0.3364032506942749,0.5528285503387451,0.11076817661523819,-0.2256350740790367,Neutral
161476612582412289,2012-01-23 15:53:19,2012-01-23,2012,2012-01,15,Monday,Web,Twitter Web Client,My @Newsmax_Media interview from Friday where I predicted that @newtgingrich in South Carolina would change the race.http://bit.ly/xoFMs6,5,19,0.03857037425041199,0.9093719720840454,0.05205767601728439,0.013487301766872406,Neutral
162248868459851776,2012-01-25 19:01:59,2012-01-25,2012,2012-01,19,Wednesday,Web,Twitter Web Client,"""Tom Brokaw keeps calling Mitt Romney """"George"""" (Mitt's father). Sadly, time is up for Tom.""",10,71,0.8331298828125,0.15974685549736023,0.007123291026800871,-0.8260065917856991,Negative
166550944002220032,2012-02-06 15:56:54,2012-02-06,2012,2012-02,15,Monday,Web,Twitter Web Client,Congrats @MittRomney on a huge NV victory. Let’s make @BarackObama a one term president http://t.co/2Xm9TRtk #OneTermFund,19,141,0.0021994495764374733,0.016560640186071396,0.9812398552894592,0.9790404057130218,Positive
167324581118488579,2012-02-08 19:11:03,2012-02-08,2012,2012-02,19,Wednesday,Web,Twitter Web Client,"I see my friend @FlaGovScott is speaking at CPAC. Solid guy, wonderful job. #sayfie @marcaputo",3,15,0.003069176571443677,0.012055804952979088,0.9848750233650208,0.9818058467935771,Positive
